preference_key,movie_title,star_cast,rating,year,place,vote,link
3,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.037875830142212,2013,218,,/title/tt1979320/
4,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.037229226911707,2017,219,,/title/tt3315342/
1,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.036647672778594,1976,220,,/title/tt0074958/
2,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.036568868240016,2007,221,,/title/tt0382932/
3,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.03521573517685,2007,222,,/title/tt0758758/
4,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.032719998065401,1939,223,,/title/tt0032138/
1,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.030407002691334,2004,224,,/title/tt0381681/
2,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.029714109890937,1993,225,,/title/tt0107048/
3,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.027069376566722,1973,226,,/title/tt0070047/
4,Los mejores años de nuestras vidas,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.025713934410964,1946,227,,/title/tt0036868/
1,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.025308426788015,1942,228,,/title/tt0035446/
2,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025052131278418,2004,229,,/title/tt0317705/
3,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.02470552562841,1966,230,,/title/tt0058946/
4,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.02340773329881,2021,231,,/title/tt15097216/
1,Las viñas de la ira,"John Ford (dir.), Henry Fonda, Jane Darwell",8.022111352480188,1940,232,,/title/tt0032551/
2,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.021984009067287,2009,233,,/title/tt1028532/
3,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.021539692248657,1940,234,,/title/tt0032976/
4,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.021225041380653,2005,235,,/title/tt0476735/
1,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021187588526368,2000,236,,/title/tt0245712/
2,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.020843980718599,2003,237,,/title/tt0325980/
3,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.020580083614254,1967,238,,/title/tt0061512/
4,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0203111786051,1995,239,,/title/tt0113247/
1,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016341818224122,1959,240,,/title/tt0053198/
2,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.01588395484624,1966,241,,/title/tt0060827/
3,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013796006630985,1934,242,,/title/tt0025316/
4,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.013045066010188,2016,243,,/title/tt4016934/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.012859317131467,1979,244,,/title/tt0079470/
2,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.012697679676767,1965,245,,/title/tt0059742/
3,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.008832149482723,1975,246,,/title/tt0071411/
4,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.005313544361417,1982,247,,/title/tt0083987/
1,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005133620244537,2011,248,,/title/tt1454029/
2,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.004843486006987,1992,249,,/title/tt0103639/
3,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.003515365409058,1999,250,,/title/tt0129167/
